epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.6791,2.27372,3.69154,2.0867,0.00823,0.275,0.00671,0.00141,3.41095,4.42038,3.221,0.000474349,0.000474349,0.000474349
2,52.271,2.50919,3.36913,2.23054,0.03841,0.05,0.02552,0.00542,3.08762,4.00447,2.8384,0.000931858,0.000931858,0.000931858
3,75.5607,2.52432,3.31623,2.30216,0.14053,0.075,0.05069,0.00779,3.11834,3.81672,2.9448,0.00137051,0.00137051,0.00137051
4,97.6459,2.56109,3.38758,2.36513,0.04078,0.15,0.01817,0.00381,3.05478,3.71145,3.00608,0.00134412,0.00134412,0.00134412
5,120.31,2.56852,3.28589,2.3656,0.1058,0.075,0.03692,0.01631,3.26224,4.08289,3.02859,0.00131582,0.00131582,0.00131582
6,143.414,2.51934,3.24754,2.33605,0.15621,0.075,0.02698,0.00828,3.11809,3.53458,2.8778,0.00128753,0.00128753,0.00128753
7,166.784,2.38881,3.13745,2.23772,0.29755,0.05,0.05758,0.00768,3.13665,3.48081,2.8713,0.00125923,0.00125923,0.00125923
8,190.717,2.37295,3.13074,2.24225,0.03838,0.2,0.02662,0.0067,3.04238,3.53553,2.88826,0.00123094,0.00123094,0.00123094
9,214.637,2.35256,3.11462,2.22877,0.12516,0.05,0.03517,0.0079,2.73248,3.62045,2.67899,0.00120265,0.00120265,0.00120265
10,239.052,2.34086,3.02835,2.15917,0.17692,0.1,0.04176,0.01,3.02311,3.47424,2.66855,0.00117435,0.00117435,0.00117435
11,262.811,2.27617,2.98145,2.13859,0.08059,0.075,0.02988,0.00543,2.87529,3.64938,2.69675,0.00114606,0.00114606,0.00114606
12,286.176,2.22813,2.95529,2.11259,0.11683,0.10596,0.05683,0.01509,2.82544,3.48899,2.79791,0.00111776,0.00111776,0.00111776
13,309.272,2.2632,2.97176,2.12465,0.09252,0.1,0.03591,0.01207,2.88635,3.5566,2.62505,0.00108947,0.00108947,0.00108947
14,332.268,2.18152,2.96616,2.09887,0.38321,0.075,0.0736,0.03174,2.9321,3.31275,2.62249,0.00106118,0.00106118,0.00106118
15,355.361,2.18586,2.8965,2.13307,0.12425,0.1,0.03879,0.00926,2.7921,3.38643,2.78773,0.00103288,0.00103288,0.00103288
16,377.93,2.16618,2.90865,2.12613,0.14403,0.075,0.03413,0.01394,2.62903,3.30339,2.57893,0.00100459,0.00100459,0.00100459
17,401.043,2.15782,2.86324,2.10312,0.30295,0.1,0.08423,0.02233,2.71275,3.10934,2.73935,0.000976293,0.000976293,0.000976293
18,423.804,2.09301,2.83113,2.07084,0.09229,0.125,0.06113,0.02225,2.68605,3.32467,2.70229,0.000947999,0.000947999,0.000947999
19,447.263,2.10266,2.86167,2.05436,0.09246,0.075,0.0311,0.00955,2.68715,3.33466,2.73248,0.000919704,0.000919704,0.000919704
20,469.955,2.08224,2.78272,2.0209,0.08004,0.175,0.05519,0.02081,2.91408,3.32302,2.77739,0.00089141,0.00089141,0.00089141
21,493.432,2.07754,2.80071,2.05043,0.17078,0.06728,0.0661,0.02813,2.6246,3.09407,2.63962,0.000863116,0.000863116,0.000863116
22,516.602,2.0016,2.70779,1.98532,0.13818,0.075,0.06992,0.03073,2.80015,3.0879,2.78173,0.000834822,0.000834822,0.000834822
