epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.7729,2.24293,3.71684,2.06294,0.09233,0.05,0.00979,0.00183,3.3138,4.4923,3.02421,0.000474349,0.000474349,0.000474349
2,38.8254,2.49646,3.4477,2.2571,0.00375,0.575,0.00951,0.00226,3.12695,3.93457,3.10768,0.000931858,0.000931858,0.000931858
3,55.8138,2.48218,3.34427,2.33974,0.47316,0.05,0.04953,0.00588,3.30557,4.664,3.17786,0.00137051,0.00137051,0.00137051
4,73.4409,2.58613,3.34969,2.35625,0.00654,0.15,0.00498,0.00146,3.15619,4.51504,3.02067,0.00134412,0.00134412,0.00134412
5,90.2514,2.49907,3.24775,2.33617,0.04552,0.2,0.01896,0.00468,2.95938,3.78076,2.92547,0.00131582,0.00131582,0.00131582
6,107.05,2.48412,3.18891,2.36573,0.10456,0.05,0.02053,0.00437,3.1925,3.5885,3.03244,0.00128753,0.00128753,0.00128753
7,124.561,2.416,3.12105,2.27453,0.05742,0.05801,0.0395,0.00993,3.07917,3.44359,2.85712,0.00125923,0.00125923,0.00125923
8,140.913,2.35965,3.10806,2.22131,0.59408,0.05,0.05246,0.01233,2.96235,3.71306,2.85088,0.00123094,0.00123094,0.00123094
9,158.316,2.37538,3.12489,2.2332,0.01346,0.2,0.01383,0.00338,3.16124,3.70464,2.97276,0.00120265,0.00120265,0.00120265
10,175.628,2.37925,3.07573,2.18925,0.1102,0.1,0.04984,0.01802,2.85816,3.46031,2.71697,0.00117435,0.00117435,0.00117435
11,192.249,2.28974,3.00008,2.16475,0.0963,0.075,0.02675,0.00741,2.79652,3.43518,2.69376,0.00114606,0.00114606,0.00114606
12,209.455,2.21009,2.96047,2.14685,0.09258,0.1,0.05912,0.01986,2.88662,3.30931,2.64761,0.00111776,0.00111776,0.00111776
13,226.757,2.20659,2.94743,2.10802,0.06239,0.075,0.02374,0.01027,2.77003,3.23998,2.65452,0.00108947,0.00108947,0.00108947
14,243.239,2.16927,2.93391,2.08622,0.15918,0.175,0.10485,0.03097,2.83209,3.11045,2.67422,0.00106118,0.00106118,0.00106118
15,261.142,2.18736,2.8923,2.11517,0.19963,0.075,0.05831,0.01199,2.54482,3.13507,2.59485,0.00103288,0.00103288,0.00103288
16,278.636,2.16073,2.92971,2.1061,0.10297,0.1,0.03236,0.01054,2.62043,3.19312,2.68175,0.00100459,0.00100459,0.00100459
17,295.278,2.1499,2.80984,2.06677,0.14049,0.075,0.06697,0.0337,2.49139,3.18111,2.62261,0.000976293,0.000976293,0.000976293
18,313.776,2.09355,2.77422,2.05673,0.13468,0.1,0.05997,0.02216,2.68077,3.03144,2.69022,0.000947999,0.000947999,0.000947999
19,331.431,2.10381,2.81906,2.0285,0.17356,0.1,0.08193,0.01994,2.60523,3.02199,2.66879,0.000919704,0.000919704,0.000919704
