epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.4146,2.2299,3.7072,2.03982,0.04259,0.025,0.00678,0.00172,3.43035,4.52649,3.03351,0.000474349,0.000474349,0.000474349
2,42.9546,2.45761,3.39881,2.23227,0.06063,0.15,0.02529,0.00995,3.0739,3.73612,3.16587,0.000931858,0.000931858,0.000931858
3,61.7699,2.48078,3.3156,2.26888,0.20637,0.075,0.06247,0.01487,3.07568,3.60802,2.98176,0.00137051,0.00137051,0.00137051
4,80.9515,2.55054,3.34455,2.33743,0.18821,0.1,0.07541,0.02228,3.16764,3.63778,2.95647,0.00134412,0.00134412,0.00134412
5,100.104,2.49311,3.24982,2.29347,0.03849,0.1,0.02138,0.00719,3.06274,3.57251,2.86363,0.00131582,0.00131582,0.00131582
6,119.281,2.48952,3.21211,2.28859,0.04651,0.075,0.0274,0.00804,2.99603,4.13545,2.90405,0.00128753,0.00128753,0.00128753
7,139.256,2.37338,3.10173,2.20969,0.09098,0.1,0.02794,0.01077,2.85669,3.47172,2.69215,0.00125923,0.00125923,0.00125923
8,159.405,2.36442,3.08263,2.21746,0.23047,0.05,0.05404,0.00891,3.08318,3.51821,2.89969,0.00123094,0.00123094,0.00123094
9,178.744,2.3635,3.07703,2.22803,0.23684,0.025,0.02678,0.00418,2.94843,3.63281,2.76945,0.00120265,0.00120265,0.00120265
10,198.819,2.33121,3.01053,2.16938,0.06341,0.05,0.02395,0.01227,2.8897,3.64769,2.71397,0.00117435,0.00117435,0.00117435
11,219.26,2.26184,2.98994,2.16298,0.09627,0.075,0.02656,0.00627,2.98949,3.41158,2.83246,0.00114606,0.00114606,0.00114606
12,238.855,2.23171,2.94016,2.1176,0.80599,0.075,0.09575,0.03123,2.68568,3.24741,2.66282,0.00111776,0.00111776,0.00111776
13,257.619,2.22861,2.93563,2.11901,0.16312,0.075,0.05516,0.02326,2.67533,3.23996,2.50025,0.00108947,0.00108947,0.00108947
14,277.907,2.18091,2.94274,2.09497,0.60715,0.05,0.06451,0.01965,2.61562,3.19755,2.61841,0.00106118,0.00106118,0.00106118
15,299.037,2.18103,2.85663,2.12916,0.19223,0.10119,0.08106,0.01697,2.74441,3.11895,2.64857,0.00103288,0.00103288,0.00103288
16,318.817,2.18136,2.87246,2.11594,0.09485,0.1,0.03695,0.01109,2.57296,3.15035,2.66895,0.00100459,0.00100459,0.00100459
17,338.05,2.15056,2.83331,2.0888,0.17897,0.075,0.08831,0.01879,2.5642,3.26357,2.63699,0.000976293,0.000976293,0.000976293
18,356.613,2.08413,2.76399,2.05062,0.21469,0.1,0.05763,0.02389,2.77047,3.32863,2.64879,0.000947999,0.000947999,0.000947999
19,375.196,2.10047,2.81207,2.0235,0.26338,0.05,0.05244,0.01483,2.62453,2.97335,2.79874,0.000919704,0.000919704,0.000919704
20,393.799,2.06641,2.75475,1.99573,0.12801,0.05,0.05288,0.02513,2.68087,3.18916,2.6654,0.00089141,0.00089141,0.00089141
