epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.7012,2.20565,3.19362,1.87764,0.15641,0.45455,0.18883,0.06794,2.23098,3.18769,1.8343,0.000474349,0.000474349,0.000474349
2,43.1197,2.15425,2.46918,1.85013,0.34837,0.34091,0.24375,0.09737,1.90101,2.54795,1.69378,0.000931858,0.000931858,0.000931858
3,62.068,2.05815,2.29782,1.81499,0.26731,0.36364,0.2473,0.10701,1.99787,2.38073,1.83394,0.00137051,0.00137051,0.00137051
4,80.5538,2.10481,2.31741,1.84005,0.29202,0.35227,0.25035,0.10858,2.03076,2.3915,1.81118,0.00134412,0.00134412,0.00134412
5,99.4507,2.06473,2.25187,1.80771,0.3783,0.34091,0.27703,0.13579,1.90245,2.25187,1.71947,0.00131582,0.00131582,0.00131582
6,118.045,1.98474,2.22597,1.75885,0.47521,0.38636,0.38764,0.18133,1.79464,2.1827,1.64728,0.00128753,0.00128753,0.00128753
7,136.877,1.95124,2.15376,1.71515,0.4891,0.38636,0.38765,0.17932,1.74714,2.08994,1.57369,0.00125923,0.00125923,0.00125923
8,155.802,1.94622,2.14518,1.72316,0.28271,0.47727,0.3098,0.1453,1.69731,2.1305,1.60648,0.00123094,0.00123094,0.00123094
9,174.89,1.89626,2.10599,1.69569,0.53309,0.42045,0.41075,0.18582,1.69411,2.00592,1.58533,0.00120265,0.00120265,0.00120265
10,193.88,1.89988,2.08562,1.68683,0.39913,0.38636,0.33631,0.15631,1.70102,2.08948,1.61965,0.00117435,0.00117435,0.00117435
11,212.525,1.87826,2.04587,1.66923,0.50539,0.39773,0.41635,0.18893,1.75575,1.99046,1.54277,0.00114606,0.00114606,0.00114606
12,231.224,1.84376,2.0403,1.65834,0.55377,0.51136,0.49186,0.27726,1.55813,1.84922,1.4948,0.00111776,0.00111776,0.00111776
13,250.206,1.82446,2.01107,1.65862,0.50582,0.44318,0.44087,0.18848,1.72203,2.06013,1.62979,0.00108947,0.00108947,0.00108947
14,269.147,1.8299,2.02475,1.66258,0.3488,0.48864,0.33904,0.14892,1.6581,2.10544,1.56073,0.00106118,0.00106118,0.00106118
15,287.957,1.80185,2.04717,1.6711,0.41922,0.44318,0.36982,0.18066,1.63435,1.87654,1.56596,0.00103288,0.00103288,0.00103288
16,306.892,1.81773,2.00593,1.66936,0.53326,0.40909,0.4185,0.21012,1.64251,1.89917,1.58622,0.00100459,0.00100459,0.00100459
17,325.843,1.79041,1.98671,1.62342,0.49628,0.48864,0.42885,0.20287,1.60458,1.99962,1.51024,0.000976293,0.000976293,0.000976293
18,344.564,1.78463,1.98663,1.63672,0.33782,0.44062,0.352,0.1736,1.67912,2.11893,1.56503,0.000947999,0.000947999,0.000947999
19,363.377,1.75778,1.96818,1.62293,0.44802,0.41508,0.44763,0.22177,1.64875,1.90239,1.57337,0.000919704,0.000919704,0.000919704
20,382.552,1.75315,1.94909,1.60558,0.46454,0.63636,0.51441,0.25398,1.59259,1.70874,1.53157,0.00089141,0.00089141,0.00089141
21,401.861,1.7378,1.9321,1.61278,0.47129,0.57739,0.53476,0.2663,1.59276,1.79369,1.55335,0.000863116,0.000863116,0.000863116
22,420.912,1.71626,1.89709,1.60504,0.55902,0.56818,0.5637,0.25384,1.60907,1.73175,1.52345,0.000834822,0.000834822,0.000834822
23,439.801,1.75154,1.90412,1.61151,0.52709,0.5,0.53933,0.26216,1.64189,1.76405,1.53396,0.000806528,0.000806528,0.000806528
24,458.993,1.7119,1.91173,1.58107,0.64759,0.58474,0.59598,0.28227,1.57671,1.6749,1.50908,0.000778233,0.000778233,0.000778233
25,477.898,1.73967,1.88143,1.60089,0.47746,0.53409,0.49394,0.23596,1.62724,1.84781,1.552,0.000749939,0.000749939,0.000749939
26,496.903,1.70254,1.88403,1.58332,0.55627,0.47727,0.50542,0.27456,1.57154,1.82607,1.46982,0.000721645,0.000721645,0.000721645
27,515.799,1.69294,1.86812,1.55628,0.56363,0.51136,0.51344,0.298,1.49542,1.74012,1.46186,0.000693351,0.000693351,0.000693351
28,534.832,1.65432,1.84603,1.54429,0.49162,0.625,0.53611,0.26712,1.62386,1.64703,1.51054,0.000665057,0.000665057,0.000665057
29,553.805,1.68895,1.83621,1.55225,0.59742,0.47727,0.57116,0.29567,1.56844,1.6102,1.49432,0.000636762,0.000636762,0.000636762
30,572.918,1.63476,1.80977,1.53036,0.5597,0.56818,0.60749,0.30011,1.55497,1.61264,1.4985,0.000608468,0.000608468,0.000608468
31,592.029,1.68001,1.83707,1.558,0.39419,0.61364,0.48863,0.25386,1.55012,1.76542,1.47177,0.000580174,0.000580174,0.000580174
32,610.893,1.6669,1.80716,1.54331,0.47488,0.65909,0.53936,0.27898,1.50308,1.6372,1.45417,0.00055188,0.00055188,0.00055188
33,629.586,1.63226,1.76748,1.52081,0.58887,0.58597,0.58238,0.29658,1.54418,1.52422,1.42371,0.000523586,0.000523586,0.000523586
34,648.812,1.64624,1.78917,1.52257,0.52943,0.63636,0.49692,0.26368,1.55595,1.75243,1.46327,0.000495291,0.000495291,0.000495291
35,667.911,1.62451,1.74627,1.53341,0.5465,0.625,0.62219,0.32482,1.4834,1.51655,1.38817,0.000466997,0.000466997,0.000466997
36,687.07,1.63735,1.78391,1.52935,0.58388,0.65377,0.63598,0.32711,1.45361,1.44806,1.39155,0.000438703,0.000438703,0.000438703
37,705.99,1.63056,1.76349,1.51614,0.6031,0.68182,0.62128,0.31921,1.51384,1.47688,1.4195,0.000410409,0.000410409,0.000410409
38,725.204,1.58822,1.74564,1.50862,0.65422,0.60227,0.65898,0.35118,1.5181,1.47113,1.42205,0.000382115,0.000382115,0.000382115
39,744.671,1.5876,1.73473,1.50092,0.59753,0.48864,0.55568,0.30843,1.49051,1.54983,1.41014,0.00035382,0.00035382,0.00035382
40,764.047,1.60066,1.74494,1.51065,0.59463,0.59091,0.64488,0.35067,1.4805,1.4618,1.38359,0.000325526,0.000325526,0.000325526
41,784.177,1.65743,1.76826,1.52692,0.61725,0.61364,0.6473,0.34815,1.44691,1.58444,1.37958,0.000297232,0.000297232,0.000297232
42,802.604,1.6237,1.71455,1.52206,0.7888,0.59091,0.70151,0.36469,1.46548,1.39503,1.41057,0.000268938,0.000268938,0.000268938
43,821.724,1.6216,1.6783,1.52002,0.71315,0.6498,0.70642,0.3694,1.46227,1.31419,1.42258,0.000240644,0.000240644,0.000240644
44,840.765,1.62643,1.6688,1.52692,0.65994,0.59091,0.64528,0.37302,1.42901,1.47096,1.35514,0.000212349,0.000212349,0.000212349
45,859.924,1.59301,1.65492,1.50802,0.71383,0.67045,0.69667,0.37609,1.44767,1.38043,1.39175,0.000184055,0.000184055,0.000184055
46,878.739,1.60478,1.63196,1.50933,0.68293,0.61364,0.65875,0.37192,1.43254,1.39827,1.37318,0.000155761,0.000155761,0.000155761
47,897.906,1.58743,1.63675,1.50363,0.78983,0.6406,0.71533,0.37624,1.43716,1.33331,1.37482,0.000127467,0.000127467,0.000127467
48,916.857,1.58333,1.60841,1.48951,0.79316,0.63636,0.72769,0.37072,1.48126,1.31976,1.40924,9.91726e-05,9.91726e-05,9.91726e-05
49,935.598,1.56244,1.59875,1.48977,0.79296,0.64773,0.72456,0.36594,1.48453,1.30535,1.41366,7.08784e-05,7.08784e-05,7.08784e-05
50,954.776,1.57403,1.60654,1.49429,0.79318,0.625,0.71225,0.36951,1.48623,1.34444,1.4225,4.25842e-05,4.25842e-05,4.25842e-05
