epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.5603,1.91956,5.40824,1.5446,0.43718,0.28571,0.2106,0.04738,1.88222,9.36084,1.48578,0.000474349,0.000474349,0.000474349
2,43.1871,2.24641,5.17698,1.83533,0.54512,0.42857,0.3776,0.12425,1.94672,9.59716,1.57538,0.000931858,0.000931858,0.000931858
3,61.6524,2.40694,5.06823,1.94621,0.00944,0.28571,0.00394,0.00122,1.97732,271.245,1.38222,0.00137051,0.00137051,0.00137051
4,79.9438,2.38041,4.74628,1.99469,0.0012,1,0.00695,0.00262,1.86229,25.9964,1.50412,0.00134412,0.00134412,0.00134412
5,97.8974,2.44819,4.18214,2.0331,0.04075,0.14286,0.03238,0.01372,1.77474,5.357,1.51439,0.00131582,0.00131582,0.00131582
6,115.586,2.31213,3.6033,1.94826,1,0.27447,0.32822,0.12592,1.89465,3.22403,1.49299,0.00128753,0.00128753,0.00128753
7,133.165,2.42576,3.51379,1.99303,0.37691,0.14286,0.19749,0.03805,1.6963,3.21348,1.47262,0.00125923,0.00125923,0.00125923
8,151.001,2.29556,3.29777,1.92809,0.24798,0.28571,0.20506,0.09672,1.64122,3.41824,1.43539,0.00123094,0.00123094,0.00123094
9,168.994,2.21427,3.16977,1.9071,0.9322,0.28571,0.32142,0.18473,1.59992,3.04023,1.38316,0.00120265,0.00120265,0.00120265
10,187.78,2.15939,3.01527,1.86113,0.15118,0.28571,0.07798,0.03092,1.76236,2.8837,1.44259,0.00117435,0.00117435,0.00117435
11,206.611,2.19197,3.06201,1.87391,1,0.26429,0.30769,0.11093,1.55837,3.13032,1.25708,0.00114606,0.00114606,0.00114606
12,224.459,2.19304,2.94537,1.80867,0.56225,0.14286,0.26293,0.05988,1.67748,2.97165,1.27091,0.00111776,0.00111776,0.00111776
13,242.133,2.11277,2.91936,1.77868,0.34308,0.14286,0.21525,0.10974,1.68839,2.39354,1.24903,0.00108947,0.00108947,0.00108947
14,260.347,2.18993,2.8418,1.84428,0.90874,0.28571,0.33298,0.07486,1.65019,4.70751,1.32587,0.00106118,0.00106118,0.00106118
15,278.681,2.05441,2.81556,1.74656,0.95397,0.28571,0.34097,0.12602,1.53601,2.59249,1.20091,0.00103288,0.00103288,0.00103288
16,296.907,2.00555,2.78431,1.72845,0.43336,0.14286,0.22638,0.07829,1.5368,2.6952,1.26921,0.00100459,0.00100459,0.00100459
17,315.551,2.01396,2.71041,1.70918,0.21558,0.14286,0.13166,0.05482,1.68792,2.708,1.41064,0.000976293,0.000976293,0.000976293
18,334.535,2.0232,2.70521,1.70379,0.96358,0.28571,0.34886,0.11194,1.67962,2.46644,1.27809,0.000947999,0.000947999,0.000947999
19,353.243,1.97346,2.65829,1.6656,0.84498,0.28571,0.33154,0.1374,1.7304,2.93409,1.25596,0.000919704,0.000919704,0.000919704
20,371.614,1.96504,2.54895,1.68771,0.20001,0.42857,0.33625,0.13002,1.89356,2.42518,1.41339,0.00089141,0.00089141,0.00089141
21,390.307,1.97776,2.65404,1.67745,0.91554,0.28571,0.36647,0.15464,1.57834,2.99449,1.31725,0.000863116,0.000863116,0.000863116
22,409.671,1.94432,2.52414,1.68652,0.93453,0.28571,0.41436,0.14168,1.84095,2.66199,1.26729,0.000834822,0.000834822,0.000834822
23,428.847,2.01953,2.56475,1.722,0.52021,0.42857,0.41904,0.18912,1.66705,2.4489,1.29777,0.000806528,0.000806528,0.000806528
24,447.833,1.85434,2.47488,1.59958,0.46647,0.42857,0.41723,0.13858,1.6837,2.76081,1.32927,0.000778233,0.000778233,0.000778233
25,466.758,1.89162,2.42625,1.6446,0.93903,0.28571,0.37529,0.17145,1.60731,2.55159,1.24424,0.000749939,0.000749939,0.000749939
26,485.73,1.89137,2.33423,1.60574,0.95253,0.28571,0.37743,0.16528,1.57586,2.28559,1.19319,0.000721645,0.000721645,0.000721645
27,505.069,1.85912,2.39142,1.5713,0.35468,0.57143,0.43048,0.16851,1.61546,2.47901,1.20477,0.000693351,0.000693351,0.000693351
28,524.636,1.88542,2.30706,1.59619,0.90103,0.28571,0.40649,0.1291,1.81265,2.7216,1.34361,0.000665057,0.000665057,0.000665057
29,544.916,1.84647,2.29464,1.60936,0.733,0.57143,0.53972,0.20231,1.71228,2.27638,1.32584,0.000636762,0.000636762,0.000636762
30,564.62,1.80161,2.22466,1.57711,0.93573,0.42857,0.50901,0.23453,1.62497,2.88253,1.33814,0.000608468,0.000608468,0.000608468
31,583.738,1.86658,2.25484,1.63471,0.55038,0.42857,0.42016,0.16833,1.6887,2.432,1.29762,0.000580174,0.000580174,0.000580174
32,601.61,1.75231,2.27159,1.53233,0.62339,0.57143,0.50627,0.22166,1.57718,2.05338,1.23125,0.00055188,0.00055188,0.00055188
33,619.65,1.79344,2.27538,1.54386,0.62916,0.57143,0.45027,0.21616,1.5749,2.09598,1.1985,0.000523586,0.000523586,0.000523586
34,637.766,1.66384,2.16923,1.45477,1,0.4046,0.55165,0.275,1.72754,2.4292,1.25579,0.000495291,0.000495291,0.000495291
35,656.434,1.74604,2.09167,1.52243,0.68211,0.57143,0.57544,0.29635,1.49778,1.7937,1.17494,0.000466997,0.000466997,0.000466997
36,675.809,1.75021,2.16417,1.54066,0.58407,0.57143,0.52957,0.20625,1.66376,2.10344,1.3039,0.000438703,0.000438703,0.000438703
37,694.424,1.70033,2.13265,1.47488,0.5646,0.57143,0.54792,0.28952,1.63218,1.60242,1.20701,0.000410409,0.000410409,0.000410409
38,712.491,1.7149,2.11836,1.50521,0.62635,0.57143,0.50935,0.24548,1.67085,1.87993,1.25273,0.000382115,0.000382115,0.000382115
39,732.172,1.67425,2.02271,1.48527,0.60118,0.57143,0.50762,0.29394,1.56642,2.0005,1.20914,0.00035382,0.00035382,0.00035382
40,754.149,1.67002,2.09586,1.46482,0.63733,0.57143,0.53439,0.26028,1.53008,1.82699,1.19311,0.000325526,0.000325526,0.000325526
41,772.269,1.43173,1.86158,1.30485,0.64427,0.57143,0.43861,0.26588,1.4796,1.79361,1.21166,0.000297232,0.000297232,0.000297232
42,789.714,1.49241,1.77489,1.31181,0.64551,0.57143,0.44987,0.20311,1.62319,1.80426,1.22218,0.000268938,0.000268938,0.000268938
43,807.346,1.509,1.69552,1.31973,0.76189,0.57143,0.52222,0.27791,1.64514,1.68558,1.28291,0.000240644,0.000240644,0.000240644
44,825.14,1.46756,1.68577,1.30114,0.76501,0.57143,0.58262,0.33928,1.56076,1.30323,1.22512,0.000212349,0.000212349,0.000212349
45,843.065,1.48205,1.61722,1.32442,0.77029,0.57143,0.5221,0.28877,1.55839,1.5381,1.26886,0.000184055,0.000184055,0.000184055
46,861.416,1.38732,1.60196,1.25562,0.77336,0.57143,0.59444,0.37208,1.50964,1.52284,1.23985,0.000155761,0.000155761,0.000155761
47,879.789,1.46274,1.58627,1.28549,0.754,0.57143,0.53719,0.29055,1.58996,1.76103,1.24823,0.000127467,0.000127467,0.000127467
48,897.886,1.38238,1.56863,1.26134,0.79476,0.57143,0.62898,0.3703,1.5247,1.46306,1.19552,9.91726e-05,9.91726e-05,9.91726e-05
49,915.97,1.42154,1.58754,1.28875,0.75918,0.57143,0.5661,0.33236,1.56235,1.44324,1.2023,7.08784e-05,7.08784e-05,7.08784e-05
50,933.938,1.4238,1.54173,1.28037,0.75325,0.57143,0.54957,0.3146,1.54124,1.45204,1.20441,4.25842e-05,4.25842e-05,4.25842e-05
