epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.0109,2.27372,3.69154,2.0867,0.00822,0.275,0.00673,0.00141,3.38001,4.34113,3.19723,0.000474349,0.000474349,0.000474349
2,56.7889,2.50919,3.36913,2.23054,0.03841,0.05,0.02539,0.0054,3.06937,3.84609,2.85226,0.000931858,0.000931858,0.000931858
3,84.1965,2.52432,3.31623,2.30216,0.14053,0.075,0.05072,0.0078,3.08995,3.60381,2.91673,0.00137051,0.00137051,0.00137051
4,111.002,2.56109,3.38758,2.36513,0.04078,0.15,0.01818,0.00381,2.97099,3.60979,2.95216,0.00134412,0.00134412,0.00134412
5,138.683,2.56852,3.28589,2.3656,0.1058,0.075,0.03691,0.0163,3.21244,3.93183,3.02115,0.00131582,0.00131582,0.00131582
6,164.922,2.51934,3.24754,2.33605,0.15621,0.075,0.02724,0.00833,2.98969,3.4321,2.79808,0.00128753,0.00128753,0.00128753
7,192.636,2.38881,3.13745,2.23772,0.15874,0.05,0.0509,0.00695,3.16317,3.41547,2.91472,0.00125923,0.00125923,0.00125923
8,219.557,2.37295,3.13074,2.24225,0.03838,0.2,0.02662,0.0067,2.98615,3.44609,2.84075,0.00123094,0.00123094,0.00123094
9,247.874,2.35256,3.11462,2.22877,0.12516,0.05,0.03517,0.0079,2.78019,3.45466,2.67149,0.00120265,0.00120265,0.00120265
10,272.948,2.34086,3.02835,2.15917,0.17692,0.1,0.04177,0.01,2.90689,3.37946,2.62015,0.00117435,0.00117435,0.00117435
11,298.027,2.27617,2.98145,2.13859,0.08059,0.075,0.0299,0.00543,2.81304,3.4739,2.67208,0.00114606,0.00114606,0.00114606
12,324.553,2.22813,2.95529,2.11259,0.11683,0.10596,0.05683,0.01508,2.88226,3.36987,2.84769,0.00111776,0.00111776,0.00111776
13,349.836,2.2632,2.97176,2.12465,0.09252,0.1,0.03593,0.01207,2.94153,3.36829,2.63798,0.00108947,0.00108947,0.00108947
14,377.63,2.18152,2.96616,2.09887,0.38321,0.075,0.07353,0.03173,2.98835,3.13862,2.67993,0.00106118,0.00106118,0.00106118
15,405.803,2.18586,2.8965,2.13307,0.12425,0.1,0.03877,0.00926,2.79686,3.27165,2.77052,0.00103288,0.00103288,0.00103288
16,431.691,2.16618,2.90865,2.12613,0.14403,0.075,0.03417,0.01397,2.58837,3.25726,2.54359,0.00100459,0.00100459,0.00100459
17,457.696,2.15782,2.86324,2.10312,0.30295,0.1,0.08424,0.02232,2.69302,3.09664,2.69287,0.000976293,0.000976293,0.000976293
18,485.206,2.09301,2.83113,2.07084,0.09229,0.125,0.06118,0.02222,2.71967,3.21288,2.66605,0.000947999,0.000947999,0.000947999
19,513.005,2.10266,2.86167,2.05436,0.09246,0.075,0.03109,0.00954,2.78276,3.18517,2.74126,0.000919704,0.000919704,0.000919704
20,541.449,2.08224,2.78272,2.0209,0.08008,0.175,0.05519,0.02081,2.88904,3.37531,2.71628,0.00089141,0.00089141,0.00089141
21,569.013,2.07754,2.80071,2.05043,0.12757,0.05,0.0658,0.02807,2.67829,2.98974,2.61087,0.000863116,0.000863116,0.000863116
22,597.508,2.0016,2.70779,1.98532,0.13818,0.075,0.06991,0.03073,2.81386,3.03199,2.77081,0.000834822,0.000834822,0.000834822
23,624.875,2.03627,2.7305,2.00678,0.27738,0.1,0.09284,0.03814,2.59183,2.92027,2.70413,0.000806528,0.000806528,0.000806528
24,651.63,2.03356,2.73406,2.00275,0.21128,0.125,0.08398,0.0255,2.7192,3.15795,2.65635,0.000778233,0.000778233,0.000778233
25,679.578,2.00014,2.70202,1.96132,0.83999,0.075,0.11704,0.03658,2.59601,2.86415,2.59937,0.000749939,0.000749939,0.000749939
26,706.461,1.97313,2.66515,1.95014,0.92426,0.05,0.07389,0.03801,2.37705,2.90467,2.48571,0.000721645,0.000721645,0.000721645
27,734.479,1.96961,2.6607,1.96575,0.16098,0.1,0.07529,0.03088,2.52588,2.83619,2.49164,0.000693351,0.000693351,0.000693351
28,761.432,1.95504,2.67955,1.96828,0.50346,0.075,0.08314,0.02662,2.55038,2.961,2.53812,0.000665057,0.000665057,0.000665057
29,788.697,1.92813,2.5839,1.90305,0.17801,0.1,0.0897,0.04468,2.51091,2.92628,2.51338,0.000636762,0.000636762,0.000636762
30,817.329,1.93871,2.63036,1.92253,0.14919,0.075,0.083,0.04381,2.40549,2.90547,2.53414,0.000608468,0.000608468,0.000608468
31,844.066,1.91236,2.56517,1.91177,0.54612,0.1,0.11616,0.04443,2.29084,2.96609,2.53202,0.000580174,0.000580174,0.000580174
32,868.992,1.89959,2.61667,1.87919,0.15839,0.1,0.09825,0.04128,2.259,2.97979,2.37512,0.00055188,0.00055188,0.00055188
33,894.263,1.8848,2.53422,1.88149,0.21885,0.125,0.11285,0.04506,2.27187,2.71213,2.37853,0.000523586,0.000523586,0.000523586
34,917.574,1.88687,2.59386,1.89541,0.14683,0.10336,0.09857,0.04456,2.31048,2.69767,2.4503,0.000495291,0.000495291,0.000495291
35,945.563,1.86462,2.50163,1.89816,0.10906,0.0828,0.0761,0.03922,2.46659,2.79545,2.5285,0.000466997,0.000466997,0.000466997
36,971.757,1.86897,2.46977,1.87812,0.21246,0.14843,0.1221,0.04778,2.41116,2.6933,2.39292,0.000438703,0.000438703,0.000438703
37,999.137,1.8456,2.50136,1.86784,0.09563,0.075,0.08419,0.03894,2.4399,2.81074,2.43183,0.000410409,0.000410409,0.000410409
38,1026.9,1.84228,2.44939,1.87081,0.1612,0.125,0.11102,0.04639,2.48122,2.81318,2.58107,0.000382115,0.000382115,0.000382115
39,1054.22,1.79684,2.41811,1.81802,0.22347,0.125,0.13991,0.05328,2.3541,2.6467,2.40653,0.00035382,0.00035382,0.00035382
40,1082.07,1.85174,2.4375,1.86454,0.20521,0.125,0.12506,0.05067,2.30767,2.62409,2.35882,0.000325526,0.000325526,0.000325526
41,1109.32,1.9387,2.5613,1.94624,0.16636,0.125,0.11861,0.05101,2.36803,2.67326,2.29925,0.000297232,0.000297232,0.000297232
42,1138.02,1.86018,2.438,1.91865,0.16524,0.1,0.13208,0.05587,2.33297,2.75264,2.31177,0.000268938,0.000268938,0.000268938
43,1163.86,1.87257,2.45219,1.90049,0.19319,0.15,0.14829,0.06155,2.50891,2.60803,2.40899,0.000240644,0.000240644,0.000240644
44,1191.39,1.81828,2.32744,1.87978,0.15372,0.175,0.11984,0.04958,2.29846,2.67653,2.39393,0.000212349,0.000212349,0.000212349
45,1220.18,1.80361,2.34417,1.85355,0.27231,0.225,0.19507,0.07882,2.38086,2.54412,2.323,0.000184055,0.000184055,0.000184055
46,1246.09,1.80664,2.33704,1.86207,0.28022,0.19481,0.18509,0.07455,2.35297,2.67185,2.37283,0.000155761,0.000155761,0.000155761
47,1272.52,1.77597,2.25674,1.83066,0.27859,0.22213,0.17349,0.07847,2.31395,2.54431,2.29028,0.000127467,0.000127467,0.000127467
48,1300.72,1.81661,2.30333,1.84433,0.39851,0.325,0.22989,0.09965,2.28132,2.45562,2.30616,9.91726e-05,9.91726e-05,9.91726e-05
49,1327.56,1.76392,2.27064,1.83531,0.35407,0.325,0.2572,0.10976,2.20527,2.4631,2.28775,7.08784e-05,7.08784e-05,7.08784e-05
50,1354.2,1.7715,2.27153,1.82525,0.33056,0.3,0.22736,0.10244,2.21967,2.50015,2.2568,4.25842e-05,4.25842e-05,4.25842e-05
