epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.5251,1.91956,5.40824,1.5446,0.43615,0.28571,0.21061,0.04736,1.78712,10.4826,1.67709,0.000474349,0.000474349,0.000474349
2,62.1078,2.24641,5.17698,1.83533,0.54512,0.42857,0.37759,0.12425,2.06715,9.11681,1.81022,0.000931858,0.000931858,0.000931858
3,88.3544,2.40694,5.06823,1.94621,0.00944,0.28571,0.00394,0.00122,1.89188,206.139,1.48116,0.00137051,0.00137051,0.00137051
4,114.439,2.38041,4.74628,1.99469,0.0012,1,0.00694,0.00261,1.77632,26.0353,1.55452,0.00134412,0.00134412,0.00134412
5,141.26,2.44819,4.18214,2.0331,0.04209,0.14286,0.03457,0.0146,1.94432,6.20611,1.66628,0.00131582,0.00131582,0.00131582
6,166.213,2.31213,3.6033,1.94826,1,0.27447,0.32825,0.12592,2.22092,3.66174,1.75529,0.00128753,0.00128753,0.00128753
