epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.177,2.21281,3.21877,1.8991,0.252,0.375,0.19695,0.0793,1.90765,2.48098,1.67201,0.000474349,0.000474349,0.000474349
2,59.4143,2.13965,2.47393,1.82557,0.46002,0.32916,0.32346,0.11249,2.04369,2.53423,1.90233,0.000931858,0.000931858,0.000931858
3,85.1415,2.05367,2.30314,1.81088,0.22715,0.47095,0.1872,0.08141,1.92355,2.53903,1.79137,0.00137051,0.00137051,0.00137051
4,111.006,2.11096,2.32713,1.85015,0.29134,0.44318,0.28412,0.12093,1.95145,2.34817,1.73984,0.00134412,0.00134412,0.00134412
5,136.544,2.05723,2.24705,1.8199,0.30805,0.39773,0.24644,0.1026,1.90123,2.31572,1.79599,0.00131582,0.00131582,0.00131582
6,162.622,2.01272,2.22576,1.77789,0.32936,0.51136,0.32537,0.16604,1.7469,2.19658,1.59906,0.00128753,0.00128753,0.00128753
7,188.445,1.98908,2.16783,1.74599,0.40034,0.49315,0.36032,0.17862,1.80155,2.16463,1.6354,0.00125923,0.00125923,0.00125923
8,213.833,1.95443,2.15996,1.74432,0.28083,0.43182,0.32432,0.16406,1.83534,2.08559,1.72189,0.00123094,0.00123094,0.00123094
9,239.189,1.90198,2.10408,1.70888,0.43464,0.42045,0.42038,0.21389,1.7041,2.01217,1.55114,0.00120265,0.00120265,0.00120265
10,264.487,1.90269,2.09798,1.69466,0.44607,0.39353,0.39185,0.20662,1.70247,2.23289,1.58929,0.00117435,0.00117435,0.00117435
11,289.6,1.87077,2.05456,1.68358,0.37127,0.51136,0.44463,0.22161,1.73515,1.97631,1.54428,0.00114606,0.00114606,0.00114606
12,315.596,1.84285,2.02836,1.66896,0.48015,0.45134,0.39449,0.18706,1.6795,1.97127,1.58004,0.00111776,0.00111776,0.00111776
13,342.639,1.82929,2.01,1.65647,0.40075,0.46591,0.3836,0.19166,1.60569,2.18214,1.50528,0.00108947,0.00108947,0.00108947
14,367.843,1.85522,2.02546,1.66655,0.42698,0.43182,0.39147,0.19712,1.67591,2.0038,1.53869,0.00106118,0.00106118,0.00106118
15,390.902,1.81665,2.02388,1.66407,0.54693,0.48864,0.4655,0.23513,1.61031,1.77686,1.53391,0.00103288,0.00103288,0.00103288
