epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.712,1.93326,5.33442,1.56119,0.49981,0.28571,0.21987,0.14373,1.61851,12.4445,1.38893,0.000474349,0.000474349,0.000474349
2,37.6012,2.22064,4.98258,1.79605,0.9402,0.28571,0.3452,0.1013,2.00559,8.84365,1.94284,0.000931858,0.000931858,0.000931858
3,53.0394,2.32247,4.88968,1.9045,0.00163,0.85714,0.01158,0.00451,1.71764,9.16803,1.58627,0.00137051,0.00137051,0.00137051
4,67.9392,2.31946,4.64932,1.92353,0.41183,0.14286,0.0897,0.05058,1.7192,8.74428,1.41703,0.00134412,0.00134412,0.00134412
5,83.0012,2.46285,4.09207,2.00048,0.24788,0.24031,0.22067,0.05424,1.88435,4.66665,1.82563,0.00131582,0.00131582,0.00131582
6,98.2399,2.34681,3.64647,1.96604,0.25161,0.14286,0.13805,0.04666,1.71874,3.57578,1.38615,0.00128753,0.00128753,0.00128753
7,113.406,2.39662,3.53467,1.93859,0.47802,0.26687,0.24237,0.08166,1.85392,3.72746,1.74997,0.00125923,0.00125923,0.00125923
8,128.608,2.32491,3.38381,1.93008,0.60997,0.28571,0.2466,0.09139,1.63898,4.47253,1.49129,0.00123094,0.00123094,0.00123094
9,143.834,2.24329,3.1653,1.81572,0.95272,0.28571,0.32244,0.15376,1.81015,3.78525,1.50056,0.00120265,0.00120265,0.00120265
10,159.116,2.1765,2.99213,1.77014,0.9157,0.28571,0.31562,0.10443,1.75937,2.86172,1.42701,0.00117435,0.00117435,0.00117435
11,173.792,2.1561,3.01813,1.79072,0.49138,0.41626,0.33085,0.11222,1.90638,2.98311,1.48507,0.00114606,0.00114606,0.00114606
12,188.717,2.16066,2.95676,1.7491,0.48741,0.41058,0.43108,0.09271,2.01008,2.58634,1.60968,0.00111776,0.00111776,0.00111776
13,203.626,2.14713,2.94365,1.74815,0.99336,0.28571,0.31907,0.08327,1.63077,2.88361,1.33536,0.00108947,0.00108947,0.00108947
14,218.906,2.17898,2.8527,1.7864,1,0.26163,0.32985,0.08521,1.67529,2.83434,1.44997,0.00106118,0.00106118,0.00106118
15,234.235,2.08208,2.82081,1.7151,0.25463,0.28571,0.1466,0.05157,2.06558,3.79693,1.78512,0.00103288,0.00103288,0.00103288
16,249.606,2.02073,2.79869,1.69815,0.93685,0.28571,0.33429,0.11748,1.83153,2.96692,1.63635,0.00100459,0.00100459,0.00100459
17,264.994,2.03348,2.66897,1.68676,0.91597,0.28571,0.43608,0.14376,1.62955,2.39519,1.3865,0.000976293,0.000976293,0.000976293
18,280.09,1.97991,2.66261,1.65242,0.85465,0.28571,0.40707,0.11643,1.78417,3.5565,1.46457,0.000947999,0.000947999,0.000947999
19,295.025,1.94865,2.65001,1.61199,0.95776,0.42857,0.46608,0.1435,1.87009,2.84359,1.60173,0.000919704,0.000919704,0.000919704
20,310.307,1.95079,2.54572,1.63084,0.92773,0.42857,0.50182,0.21389,1.48421,2.15108,1.22318,0.00089141,0.00089141,0.00089141
21,325.209,2.00045,2.62348,1.66714,0.58543,0.40776,0.41833,0.16392,1.72663,3.50683,1.50451,0.000863116,0.000863116,0.000863116
22,340.239,1.94967,2.51466,1.6307,0.65803,0.55293,0.50221,0.21525,1.93947,2.97363,1.64361,0.000834822,0.000834822,0.000834822
23,355.669,1.97667,2.53092,1.64777,0.55945,0.57143,0.50768,0.20164,1.76935,3.62567,1.47126,0.000806528,0.000806528,0.000806528
24,370.844,1.87884,2.46705,1.60801,0.59568,0.42857,0.45083,0.18054,1.68026,3.27967,1.40289,0.000778233,0.000778233,0.000778233
25,386.205,1.93885,2.39775,1.65363,0.51828,0.57143,0.58911,0.20254,1.68488,2.69874,1.36145,0.000749939,0.000749939,0.000749939
26,401.094,1.89123,2.37176,1.60425,0.96316,0.28571,0.47271,0.14896,1.59283,3.21105,1.19624,0.000721645,0.000721645,0.000721645
27,416.02,1.85404,2.44145,1.57482,0.42333,0.57143,0.45349,0.15117,1.90441,3.33992,1.59473,0.000693351,0.000693351,0.000693351
28,430.808,1.91779,2.35745,1.5943,0.93343,0.28571,0.36326,0.10686,1.87167,2.71585,1.38884,0.000665057,0.000665057,0.000665057
29,445.616,1.8587,2.33692,1.58776,0.79512,0.5575,0.52765,0.27621,1.61856,2.39632,1.24413,0.000636762,0.000636762,0.000636762
30,460.319,1.80151,2.2564,1.54578,0.5653,0.57143,0.50909,0.21036,1.7036,3.10113,1.34857,0.000608468,0.000608468,0.000608468
31,475.107,1.86851,2.26042,1.59041,1,0.42561,0.5327,0.20586,1.72957,2.59278,1.32773,0.000580174,0.000580174,0.000580174
32,489.396,1.71738,2.27977,1.48115,0.9389,0.42857,0.52658,0.21577,1.72,2.39534,1.37299,0.00055188,0.00055188,0.00055188
33,503.926,1.80839,2.24534,1.52262,0.71192,0.42857,0.55618,0.20255,1.71603,2.73414,1.34293,0.000523586,0.000523586,0.000523586
34,518.194,1.62338,2.12526,1.40194,0.86736,0.42857,0.52582,0.20551,1.66425,3.22809,1.31176,0.000495291,0.000495291,0.000495291
35,533.307,1.76411,2.10473,1.50705,0.95658,0.42857,0.54872,0.20752,1.68796,2.54908,1.3344,0.000466997,0.000466997,0.000466997
36,548.999,1.75055,2.17345,1.49867,0.76649,0.42857,0.50116,0.19905,1.80305,2.29592,1.34355,0.000438703,0.000438703,0.000438703
37,564.403,1.68606,2.12995,1.43277,1,0.56097,0.62567,0.29231,1.56478,2.01954,1.25836,0.000410409,0.000410409,0.000410409
38,579.394,1.73148,2.11515,1.50936,0.93224,0.42857,0.52098,0.21361,1.84787,2.48871,1.49734,0.000382115,0.000382115,0.000382115
39,594.651,1.6859,2.02734,1.4746,1,0.56287,0.58434,0.28396,1.78769,2.67558,1.35397,0.00035382,0.00035382,0.00035382
40,609.731,1.62879,2.10519,1.43358,0.64719,0.57143,0.53906,0.3051,1.67817,3.17656,1.31062,0.000325526,0.000325526,0.000325526
41,625.398,1.44829,1.83333,1.2849,1,0.40954,0.5064,0.28164,1.70597,1.87599,1.30615,0.000297232,0.000297232,0.000297232
42,639.734,1.53207,1.77606,1.32863,0.65519,0.54683,0.55499,0.25736,1.80247,2.25686,1.43935,0.000268938,0.000268938,0.000268938
43,654.499,1.49797,1.73487,1.31313,0.75678,0.57143,0.54545,0.31381,1.65871,2.55049,1.42739,0.000240644,0.000240644,0.000240644
44,669.121,1.47596,1.71088,1.31392,0.58342,0.57143,0.54623,0.28923,1.60745,2.0544,1.36669,0.000212349,0.000212349,0.000212349
45,684.051,1.46044,1.62379,1.30552,0.73852,0.57143,0.59525,0.31535,1.63978,2.10929,1.39525,0.000184055,0.000184055,0.000184055
46,698.529,1.43592,1.60554,1.26627,0.94444,0.57143,0.58899,0.32302,1.66082,2.04278,1.44858,0.000155761,0.000155761,0.000155761
47,713.344,1.43692,1.57864,1.25638,0.77676,0.57143,0.59334,0.34131,1.63233,2.28048,1.34503,0.000127467,0.000127467,0.000127467
