epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.0445,1.9018,5.43746,1.53493,0.93479,0.14286,0.17869,0.03772,2.05787,9.81854,1.45836,0.000474349,0.000474349,0.000474349
2,55.5971,2.21684,5.05331,1.80122,0.24845,0.47455,0.29266,0.18205,1.37181,9.05936,1.39795,0.000931858,0.000931858,0.000931858
3,79.7405,2.35378,4.8269,1.88693,0.38564,0.14286,0.29932,0.09791,2.0347,8.60331,1.62701,0.00137051,0.00137051,0.00137051
4,104.133,2.3511,4.60532,1.95904,0.06837,0.14286,0.0261,0.01496,1.86409,7.71022,1.54936,0.00134412,0.00134412,0.00134412
5,127.81,2.3714,4.00692,1.97302,0.63016,0.28571,0.26657,0.12636,1.94487,4.03611,1.63824,0.00131582,0.00131582,0.00131582
6,151.786,2.26741,3.53956,1.96139,0.0018,0.71429,0.02441,0.00738,1.92018,5.07049,1.53775,0.00128753,0.00128753,0.00128753
7,175.542,2.41489,3.38101,1.99324,0.46486,0.37838,0.30804,0.13926,1.66094,3.66476,1.42722,0.00125923,0.00125923,0.00125923
8,199.472,2.33553,3.291,1.96451,0.65622,0.28571,0.31119,0.13781,1.77936,4.46541,1.57336,0.00123094,0.00123094,0.00123094
9,222.45,2.21056,3.12522,1.86731,0.94156,0.28571,0.38488,0.16891,1.40485,3.18602,1.22993,0.00120265,0.00120265,0.00120265
10,245.876,2.12847,3.01699,1.85476,0.26662,0.28571,0.22144,0.10959,1.85605,2.89687,1.43442,0.00117435,0.00117435,0.00117435
11,269.401,2.18709,2.94721,1.82997,0.83827,0.14286,0.18678,0.11099,1.42726,4.92535,1.25759,0.00114606,0.00114606,0.00114606
12,293.62,2.13544,2.94814,1.82202,0.92979,0.28571,0.40379,0.18715,1.59744,2.25937,1.27923,0.00111776,0.00111776,0.00111776
13,317.658,2.14606,2.90673,1.79709,0.32734,0.28571,0.20912,0.06652,1.82285,2.95639,1.37295,0.00108947,0.00108947,0.00108947
14,341.801,2.16995,2.8535,1.82799,0.55745,0.28571,0.24987,0.07336,1.77258,3.11002,1.52487,0.00106118,0.00106118,0.00106118
15,366.156,2.06112,2.79705,1.75071,0.99339,0.42857,0.461,0.15056,1.76014,2.8016,1.46432,0.00103288,0.00103288,0.00103288
