epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.6007,2.21281,3.21877,1.8991,0.252,0.375,0.19703,0.07948,1.96122,2.48541,1.69558,0.000474349,0.000474349,0.000474349
2,59.8949,2.13965,2.47393,1.82557,0.45392,0.32955,0.32339,0.11212,2.10406,2.58001,1.93475,0.000931858,0.000931858,0.000931858
3,87.3665,2.05367,2.30314,1.81088,0.21841,0.48864,0.18827,0.08182,1.99331,2.50994,1.82817,0.00137051,0.00137051,0.00137051
4,115.65,2.11096,2.32713,1.85015,0.29134,0.44318,0.2831,0.12057,1.99626,2.35339,1.7617,0.00134412,0.00134412,0.00134412
5,143.326,2.05723,2.24705,1.8199,0.30885,0.39773,0.24652,0.10265,1.96429,2.4053,1.8243,0.00131582,0.00131582,0.00131582
6,169.801,2.01272,2.22576,1.77789,0.32936,0.51136,0.32554,0.16634,1.78903,2.22035,1.6373,0.00128753,0.00128753,0.00128753
7,198.279,1.98908,2.16783,1.74599,0.40034,0.49315,0.36079,0.17936,1.89525,2.24676,1.69247,0.00125923,0.00125923,0.00125923
8,225.986,1.95443,2.15996,1.74432,0.28083,0.43182,0.32466,0.1652,1.8735,2.12751,1.74091,0.00123094,0.00123094,0.00123094
9,253.903,1.90198,2.10408,1.70888,0.43464,0.42045,0.42054,0.2139,1.75868,2.02724,1.59121,0.00120265,0.00120265,0.00120265
10,282.178,1.90269,2.09798,1.69466,0.44583,0.39315,0.39288,0.20746,1.72038,2.25196,1.60929,0.00117435,0.00117435,0.00117435
11,309.828,1.87077,2.05456,1.68358,0.37134,0.51136,0.44458,0.22161,1.78288,2.00678,1.58228,0.00114606,0.00114606,0.00114606
12,337.092,1.84285,2.02836,1.66896,0.4715,0.44318,0.39441,0.18707,1.72497,2.04368,1.60796,0.00111776,0.00111776,0.00111776
13,364.388,1.82929,2.01,1.65647,0.40417,0.46253,0.38322,0.19178,1.65295,2.221,1.53331,0.00108947,0.00108947,0.00108947
14,392.308,1.85522,2.02546,1.66655,0.42699,0.43182,0.39117,0.19712,1.72194,2.05896,1.57334,0.00106118,0.00106118,0.00106118
15,420.334,1.81665,2.02388,1.66407,0.54693,0.48864,0.46483,0.23488,1.65444,1.87106,1.57653,0.00103288,0.00103288,0.00103288
16,447.636,1.82745,1.99712,1.66708,0.56244,0.5,0.48458,0.23638,1.61789,1.83069,1.54746,0.00100459,0.00100459,0.00100459
17,474.078,1.79807,1.98963,1.61951,0.54492,0.42184,0.49961,0.23566,1.69485,1.76704,1.57104,0.000976293,0.000976293,0.000976293
18,502.417,1.78415,1.97708,1.61863,0.38349,0.43182,0.31371,0.1628,1.73867,2.28282,1.60061,0.000947999,0.000947999,0.000947999
19,530.586,1.76871,1.94727,1.61871,0.36989,0.45455,0.37513,0.20084,1.61297,1.91059,1.56317,0.000919704,0.000919704,0.000919704
20,558.507,1.76748,1.95021,1.609,0.58163,0.5,0.54464,0.27317,1.64066,1.79634,1.5472,0.00089141,0.00089141,0.00089141
21,586.177,1.74289,1.92003,1.61571,0.58178,0.47727,0.54333,0.245,1.68254,1.78244,1.57085,0.000863116,0.000863116,0.000863116
22,614,1.72471,1.88766,1.59734,0.4291,0.58935,0.44952,0.21911,1.64591,1.95784,1.51408,0.000834822,0.000834822,0.000834822
23,639.723,1.75167,1.90987,1.60981,0.49531,0.60227,0.52345,0.26644,1.66033,1.76891,1.56328,0.000806528,0.000806528,0.000806528
24,664.665,1.69963,1.90604,1.57756,0.61577,0.5828,0.60692,0.29485,1.61584,1.72558,1.52266,0.000778233,0.000778233,0.000778233
25,691.831,1.73172,1.86911,1.59971,0.51761,0.5,0.50741,0.23203,1.65778,1.94501,1.55222,0.000749939,0.000749939,0.000749939
26,720.401,1.69413,1.88952,1.57963,0.40806,0.5,0.45383,0.2315,1.69328,1.79605,1.5096,0.000721645,0.000721645,0.000721645
27,748.752,1.69442,1.87975,1.55931,0.45651,0.46772,0.41231,0.23443,1.62264,1.81122,1.50219,0.000693351,0.000693351,0.000693351
28,775.504,1.65833,1.83597,1.53739,0.55844,0.56818,0.51062,0.27029,1.62177,1.6673,1.54685,0.000665057,0.000665057,0.000665057
29,804.274,1.6805,1.83181,1.55798,0.56251,0.54545,0.55522,0.29423,1.56006,1.64088,1.49062,0.000636762,0.000636762,0.000636762
30,832.886,1.63936,1.801,1.53799,0.58378,0.61364,0.63013,0.29583,1.59956,1.61828,1.55233,0.000608468,0.000608468,0.000608468
31,861.174,1.68196,1.84581,1.5603,0.57026,0.59091,0.52361,0.26313,1.60121,1.71026,1.48075,0.000580174,0.000580174,0.000580174
32,889.709,1.67546,1.80285,1.54522,0.61352,0.50514,0.53395,0.27839,1.59486,1.71633,1.48524,0.00055188,0.00055188,0.00055188
33,917.921,1.64345,1.77954,1.52576,0.65339,0.62126,0.64111,0.32586,1.53369,1.57019,1.41656,0.000523586,0.000523586,0.000523586
34,946.656,1.65137,1.79141,1.52762,0.69439,0.59091,0.66566,0.35674,1.54602,1.46793,1.47711,0.000495291,0.000495291,0.000495291
35,974.291,1.62418,1.75511,1.53003,0.5868,0.61325,0.61927,0.32474,1.60538,1.64163,1.51297,0.000466997,0.000466997,0.000466997
36,1003.28,1.63451,1.76831,1.53527,0.58448,0.6234,0.59967,0.33893,1.54767,1.59371,1.46811,0.000438703,0.000438703,0.000438703
37,1031.29,1.6294,1.76068,1.51575,0.57674,0.54545,0.51938,0.27948,1.60284,1.73359,1.49818,0.000410409,0.000410409,0.000410409
38,1058.43,1.58102,1.73995,1.50025,0.59707,0.63991,0.6067,0.32156,1.59503,1.56934,1.51084,0.000382115,0.000382115,0.000382115
39,1086.89,1.58898,1.72611,1.49534,0.56276,0.61364,0.55615,0.29884,1.55839,1.67109,1.50995,0.00035382,0.00035382,0.00035382
40,1115.08,1.60356,1.73756,1.51647,0.57819,0.73213,0.67783,0.33492,1.50526,1.4785,1.45912,0.000325526,0.000325526,0.000325526
41,1144.8,1.66124,1.74721,1.53107,0.61002,0.54545,0.60585,0.32708,1.51329,1.6306,1.427,0.000297232,0.000297232,0.000297232
42,1173.04,1.64075,1.71772,1.52748,0.644,0.69318,0.67997,0.34614,1.52411,1.501,1.46799,0.000268938,0.000268938,0.000268938
43,1201.48,1.63165,1.67868,1.52315,0.64061,0.6482,0.6466,0.32843,1.48046,1.49787,1.45595,0.000240644,0.000240644,0.000240644
44,1229.56,1.6194,1.67647,1.51468,0.70475,0.625,0.67741,0.32405,1.50589,1.49876,1.45663,0.000212349,0.000212349,0.000212349
45,1254.55,1.5969,1.65186,1.50729,0.64852,0.62904,0.65459,0.33466,1.50994,1.55083,1.44305,0.000184055,0.000184055,0.000184055
46,1279.57,1.60679,1.6435,1.51565,0.6459,0.63636,0.66623,0.33709,1.48132,1.50701,1.43402,0.000155761,0.000155761,0.000155761
47,1307.44,1.58836,1.62381,1.49399,0.67756,0.62089,0.68051,0.34514,1.50369,1.40969,1.45297,0.000127467,0.000127467,0.000127467
48,1333.82,1.59078,1.60928,1.49205,0.68605,0.64565,0.69679,0.35089,1.5079,1.43496,1.46176,9.91726e-05,9.91726e-05,9.91726e-05
49,1361.99,1.57059,1.59291,1.49023,0.71664,0.63636,0.66674,0.3456,1.54326,1.43064,1.48629,7.08784e-05,7.08784e-05,7.08784e-05
50,1389.58,1.57584,1.59662,1.4922,0.70328,0.61952,0.67647,0.35819,1.52467,1.4115,1.47859,4.25842e-05,4.25842e-05,4.25842e-05
